id_student,risk_proba,personalized_path
11391,0.1789060560933234,Standard monitoring (risk_p=0.18)
28400,0.12485165822054012,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.12, tier=Low)"
30268,0.5421320919422773,Standard monitoring (risk_p=0.54)
31604,0.11011247782526312,Standard monitoring (risk_p=0.11)
32885,0.1426866243563281,Standard monitoring (risk_p=0.14)
38053,0.10621857698479738,Standard monitoring (risk_p=0.11)
45462,0.1303821880651966,Standard monitoring (risk_p=0.13)
45642,0.11011247782526312,Standard monitoring (risk_p=0.11)
52130,0.10621857698479738,Standard monitoring (risk_p=0.11)
53025,0.12479226209716483,Standard monitoring (risk_p=0.12)
57506,0.14144993376532478,Standard monitoring (risk_p=0.14)
58873,0.11011247782526312,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.11, tier=Low)"
59185,0.1909074605451937,Standard monitoring (risk_p=0.19)
62155,0.11011247782526312,Standard monitoring (risk_p=0.11)
63400,0.0961175668837873,Standard monitoring (risk_p=0.10)
65002,0.291152388365582,Standard monitoring (risk_p=0.29)
70464,0.11619788816892784,Standard monitoring (risk_p=0.12)
71361,0.11011247782526312,Standard monitoring (risk_p=0.11)
74372,0.5473988381709662,Standard monitoring (risk_p=0.55)
75091,0.1283427930752999,Standard monitoring (risk_p=0.13)
77367,0.12479226209716483,Standard monitoring (risk_p=0.12)
91265,0.11011247782526312,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.11, tier=Low)"
94961,0.1896646148624674,Standard monitoring (risk_p=0.19)
98094,0.10621857698479738,Standard monitoring (risk_p=0.11)
100893,0.17947216132956242,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.18, tier=Low)"
101781,0.1303821880651966,Standard monitoring (risk_p=0.13)
102806,0.11481295091303438,Standard monitoring (risk_p=0.11)
102952,0.18734904314073997,Standard monitoring (risk_p=0.19)
104476,0.11011247782526312,Standard monitoring (risk_p=0.11)
106247,0.35480765586442214,Standard monitoring (risk_p=0.35)
106577,0.18352778178593773,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.18, tier=Low)"
110175,0.1625687960933784,Standard monitoring (risk_p=0.16)
111717,0.10621857698479738,Standard monitoring (risk_p=0.11)
113295,0.10621857698479738,Standard monitoring (risk_p=0.11)
114017,0.17947216132956242,Standard monitoring (risk_p=0.18)
114999,0.11011247782526312,Standard monitoring (risk_p=0.11)
116541,0.11870685175350011,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.12, tier=Low)"
116692,0.11011247782526312,Standard monitoring (risk_p=0.11)
118983,0.28640512859205747,Standard monitoring (risk_p=0.29)
123044,0.11011247782526312,Standard monitoring (risk_p=0.11)
127582,0.11619788816892784,Standard monitoring (risk_p=0.12)
129955,0.27865476467273437,Standard monitoring (risk_p=0.28)
132976,0.1657347960595521,Standard monitoring (risk_p=0.17)
135335,0.4698419151384095,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.47, tier=Low)"
135400,0.26104537889434914,Standard monitoring (risk_p=0.26)
137873,0.1167945233290263,Standard monitoring (risk_p=0.12)
141355,0.1211802235253913,Standard monitoring (risk_p=0.12)
141377,0.29349358024508426,Standard monitoring (risk_p=0.29)
142326,0.1297745974536283,Standard monitoring (risk_p=0.13)
144801,0.11760124434287882,Standard monitoring (risk_p=0.12)
145130,0.2138824516661352,Standard monitoring (risk_p=0.21)
146188,0.2653107557810954,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.27, tier=Low)"
147756,0.11011247782526312,Standard monitoring (risk_p=0.11)
147793,0.4104708007864392,Standard monitoring (risk_p=0.41)
148993,0.1839411601869989,Standard monitoring (risk_p=0.18)
151358,0.2098268312097599,Standard monitoring (risk_p=0.21)
155550,0.14144993376532478,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.14, tier=Low)"
155854,0.0961175668837873,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.10, tier=Low)"
155984,0.17276124962628336,Standard monitoring (risk_p=0.17)
157568,0.11011247782526312,Standard monitoring (risk_p=0.11)
159954,0.2550099185808739,Standard monitoring (risk_p=0.26)
164259,0.19252276200554344,Standard monitoring (risk_p=0.19)
167906,0.11011247782526312,Standard monitoring (risk_p=0.11)
168936,0.24111893390141226,Standard monitoring (risk_p=0.24)
172112,0.10621857698479738,Standard monitoring (risk_p=0.11)
172797,0.10621857698479738,Standard monitoring (risk_p=0.11)
174782,0.0961175668837873,Standard monitoring (risk_p=0.10)
175392,0.11481295091303438,Standard monitoring (risk_p=0.11)
175932,0.1303821880651966,Standard monitoring (risk_p=0.13)
175991,0.29107586757927617,Standard monitoring (risk_p=0.29)
180753,0.10621857698479738,Standard monitoring (risk_p=0.11)
181316,0.38462214872562145,Standard monitoring (risk_p=0.38)
183096,0.10621857698479738,Standard monitoring (risk_p=0.11)
183947,0.21092205096380226,Standard monitoring (risk_p=0.21)
184271,0.10621857698479738,Standard monitoring (risk_p=0.11)
185439,0.3081062905653858,Standard monitoring (risk_p=0.31)
186149,0.1303821880651966,Standard monitoring (risk_p=0.13)
188278,0.2008445254231829,Standard monitoring (risk_p=0.20)
189879,0.1303821880651966,Standard monitoring (risk_p=0.13)
192183,0.0961175668837873,Standard monitoring (risk_p=0.10)
195262,0.3474927208185315,Standard monitoring (risk_p=0.35)
200860,0.1508934597816819,Standard monitoring (risk_p=0.15)
202635,0.2868616000980882,Standard monitoring (risk_p=0.29)
205350,0.11870685175350011,Standard monitoring (risk_p=0.12)
205719,0.2837100447393542,Standard monitoring (risk_p=0.28)
227517,0.14467443383421516,Standard monitoring (risk_p=0.14)
228082,0.2862599996014478,Standard monitoring (risk_p=0.29)
228222,0.23890918834938088,Standard monitoring (risk_p=0.24)
229179,0.15436196066802457,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.15, tier=Low)"
229361,0.10621857698479738,Standard monitoring (risk_p=0.11)
231554,0.13646759840886133,Standard monitoring (risk_p=0.14)
235507,0.16027676216041095,Standard monitoring (risk_p=0.16)
236284,0.21620702481534618,Standard monitoring (risk_p=0.22)
238007,0.10621857698479738,Standard monitoring (risk_p=0.11)
240712,0.24768199773635213,Standard monitoring (risk_p=0.25)
240884,0.2292827087780933,Standard monitoring (risk_p=0.23)
241649,0.10621857698479738,Standard monitoring (risk_p=0.11)
241729,0.11625728429230316,Standard monitoring (risk_p=0.12)
242793,0.1942484868099613,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.19, tier=Low)"
246834,0.1666244165497537,Standard monitoring (risk_p=0.17)
248270,0.10621857698479738,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.11, tier=Low)"
255548,0.0961175668837873,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.10, tier=Low)"
256815,0.11011247782526312,Standard monitoring (risk_p=0.11)
258392,0.16779682501786589,Standard monitoring (risk_p=0.17)
258894,0.0961175668837873,Standard monitoring (risk_p=0.10)
260355,0.27855426364493785,Standard monitoring (risk_p=0.28)
262011,0.16598844806105717,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.17, tier=Low)"
262934,0.11011247782526312,Standard monitoring (risk_p=0.11)
268073,0.12485165822054012,Standard monitoring (risk_p=0.12)
268733,0.32206205220900874,Standard monitoring (risk_p=0.32)
271251,0.1303821880651966,Standard monitoring (risk_p=0.13)
277880,0.2703474282195841,Standard monitoring (risk_p=0.27)
281022,0.1297745974536283,Standard monitoring (risk_p=0.13)
281250,0.3746775869229079,Standard monitoring (risk_p=0.37)
281589,0.410135764066854,Standard monitoring (risk_p=0.41)
282821,0.13646759840886133,Standard monitoring (risk_p=0.14)
286488,0.1605067671350646,Standard monitoring (risk_p=0.16)
287548,0.1625687960933784,Standard monitoring (risk_p=0.16)
290201,0.11481295091303438,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.11, tier=Low)"
290757,0.2150005500745634,Standard monitoring (risk_p=0.22)
292923,0.7548384158700349,"Proactive mentor check-in and weekly SMS reminders (priority=0.90, risk_p=0.75, tier=Medium); Suggest microlearning modules (mobile-first) (priority=0.80, risk_p=0.75, tier=Medium); Offer a structured activity sequence and low-bandwidth content (priority=0.70, risk_p=0.75, tier=Medium)"
293699,0.3065031678077437,Standard monitoring (risk_p=0.31)
294570,0.11870685175350011,Standard monitoring (risk_p=0.12)
294594,0.11011247782526312,Standard monitoring (risk_p=0.11)
295741,0.10621857698479738,Standard monitoring (risk_p=0.11)
298696,0.14229908585344492,Standard monitoring (risk_p=0.14)
300398,0.11870685175350011,Standard monitoring (risk_p=0.12)
302302,0.23689726644086698,Standard monitoring (risk_p=0.24)
305152,0.30869923069663635,Standard monitoring (risk_p=0.31)
305386,0.15778161263570334,Standard monitoring (risk_p=0.16)
305539,0.40382903349005045,Standard monitoring (risk_p=0.40)
306107,0.1297745974536283,Standard monitoring (risk_p=0.13)
306466,0.11011247782526312,Standard monitoring (risk_p=0.11)
306897,0.0961175668837873,Standard monitoring (risk_p=0.10)
307061,0.1211802235253913,Standard monitoring (risk_p=0.12)
307866,0.1475947402323648,Standard monitoring (risk_p=0.15)
311917,0.11011247782526312,Standard monitoring (risk_p=0.11)
312782,0.16598844806105717,Standard monitoring (risk_p=0.17)
318933,0.11011247782526312,Standard monitoring (risk_p=0.11)
319047,0.10621857698479738,Standard monitoring (risk_p=0.11)
321942,0.11870685175350011,Standard monitoring (risk_p=0.12)
324002,0.11011247782526312,Standard monitoring (risk_p=0.11)
324084,0.11011247782526312,Standard monitoring (risk_p=0.11)
324282,0.23333832923446862,Standard monitoring (risk_p=0.23)
331358,0.21210384595765597,Standard monitoring (risk_p=0.21)
332789,0.1252021717601509,Standard monitoring (risk_p=0.13)
333059,0.263857026920912,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.26, tier=Low)"
333323,0.184387737019316,Standard monitoring (risk_p=0.18)
334259,0.18530964815084328,Standard monitoring (risk_p=0.19)
334333,0.34092946029635957,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.34, tier=Low)"
335764,0.16414458635398557,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.16, tier=Low)"
336207,0.11011247782526312,Standard monitoring (risk_p=0.11)
339972,0.23333832923446862,Standard monitoring (risk_p=0.23)
341872,0.24768199773635213,Standard monitoring (risk_p=0.25)
342007,0.14593309365852744,Standard monitoring (risk_p=0.15)
342514,0.1303821880651966,Standard monitoring (risk_p=0.13)
342972,0.16218999356053823,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.16, tier=Low)"
343446,0.11481295091303438,Standard monitoring (risk_p=0.11)
344282,0.3478368920362194,Standard monitoring (risk_p=0.35)
345068,0.2117187872991297,Standard monitoring (risk_p=0.21)
346025,0.11011247782526312,Standard monitoring (risk_p=0.11)
346843,0.2439291937139857,Standard monitoring (risk_p=0.24)
350188,0.15431311174936066,Standard monitoring (risk_p=0.15)
354858,0.5187779656566717,Standard monitoring (risk_p=0.52)
357668,0.2567106806480122,Standard monitoring (risk_p=0.26)
364177,0.13020213689045565,Standard monitoring (risk_p=0.13)
365244,0.1297745974536283,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.13, tier=Low)"
365642,0.10621857698479738,Standard monitoring (risk_p=0.11)
366483,0.10621857698479738,Standard monitoring (risk_p=0.11)
368194,0.24504050252886325,Standard monitoring (risk_p=0.25)
368824,0.24293655937019973,Standard monitoring (risk_p=0.24)
368963,0.18734904314073997,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.19, tier=Low)"
376581,0.10621857698479738,Standard monitoring (risk_p=0.11)
380953,0.11870685175350011,Standard monitoring (risk_p=0.12)
383254,0.11870685175350011,Standard monitoring (risk_p=0.12)
386924,0.22297994989363332,Standard monitoring (risk_p=0.22)
386952,0.11011247782526312,Standard monitoring (risk_p=0.11)
388722,0.1340922504280911,Standard monitoring (risk_p=0.13)
388885,0.20676531709777643,Standard monitoring (risk_p=0.21)
390890,0.1896646148624674,"Immediate financial outreach + offline materials (priority=1.00, risk_p=0.19, tier=Low)"
392756,0.22518748471042102,Standard monitoring (risk_p=0.23)
392931,0.0961175668837873,Standard monitoring (risk_p=0.10)
393207,0.19140466359711528,Standard monitoring (risk_p=0.19)
396872,0.15436196066802457,Standard monitoring (risk_p=0.15)
398552,0.12479226209716483,Standard monitoring (risk_p=0.12)
